name,rank,birth_rate,population,unemployment_rate,gdp
egypt,25,28.8,99.413317,12.2,236.5
singapore,24,8.7,5.995991,2.2,323.9
spain,23,9,49.331076,17.2,1314
pakistan,22,21.6,207.862518,6,305
netherlands,21,10.9,17.151228,4.9,832.2
qatar,20,9.5,2.363569,8.9,166.9
sweden,19,12.1,10.040995,6.7,535.6
italy,18,8.5,62.246674,11.3,1939
switzerland,17,10.5,8.292809,3.2,679
australia,16,12,23.470145,5.6,1380
india,15,18.7,1296.834042,8.5,2602
turkey,14,15.4,81.257239,10.9,851.5
iran,13,17.4,83.024745,11.8,430.7
canada,12,10.2,35.881659,6.3,1653
korea_south,11,8.3,51.418097,3.7,1540
united_arab_emirates,10,9.8,9.701315,1.6,382.6
saudi_arabia,9,15.6,33.091113,6,686.7
israel,8,17.9,8.424904,4.2,350.7
japan,7,7.5,126.168156,2.9,4873
france,6,12.1,67.364357,9.4,2588
united_kingdom,5,12,65.105246,4.4,2628
germany,4,8.6,80.457737,3.8,3701
china,3,12.1,1384.688986,3.9,12010
russia,2,10.7,142.122776,5.2,1578
united_states,1,12.4,329.256465,4.4,19490
